line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Dmitri Poloz,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,W,12,22,3,1057,1,
Emiliano Rigoni,25,Zenit St. Petersburg,RUS - Premier Liga,both,180,Argentina  Italy,W,12,,,,,
Sebastián Driussi,22,Zenit St. Petersburg,RUS - Premier Liga,both,179,Argentina  Italy,CF,12,,,,,
Aleksandr Kokorin,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,CF,12,26,13,2287,5,
Anton Zabolotnyi,26,Zenit St. Petersburg,RUS - Premier Liga,right,188,Russia,CF,12,5,1,171,0,
Quincy Promes,26,Spartak Moscow,RUS - Premier Liga,both,174,Netherlands  Suriname,W,12,42,17,3678,11,
Pedro Rocha,23,Spartak Moscow,RUS - Premier Liga,right,175,Brazil,W,12,,,,,
Lorenzo Melgarejo,27,Spartak Moscow,RUS - Premier Liga,left,178,Paraguay,W,12,40,2,3588,5,
Zelimkhan Bakaev,21,Spartak 2 Moscow,RUS - Premier Liga,left,180,Russia,W,12,,,,,
Luiz Adriano,30,Spartak Moscow,RUS - Premier Liga,right,183,Brazil,CF,12,32,15,2455,9,
Zé Luís,27,Spartak Moscow,RUS - Premier Liga,left,184,Cape Verde,CF,12,35,8,1603,1,
Ahmed Musa,25,CSKA Moscow,RUS - Premier Liga,both,170,Nigeria,CF,12,35,15,3029,7,
Fedor Chalov,19,CSKA Moscow,RUS - Premier Liga,right,180,Russia,CF,12,,,,,
Timur Zhamaletdinov,20,CSKA Moscow,RUS - Premier Liga,right,181,Russia,CF,12,,,,,
Wanderson A,23,FK Krasnodar,RUS - Premier Liga,right,175,Brazil  Belgium,W,12,6,0,199,1,
Joãozinho,29,FK Krasnodar,RUS - Premier Liga,left,166,Russia  Brazil,W,12,31,4,2740,16,
Andrei Ivan,21,FK Krasnodar,RUS - Premier Liga,right,185,Romania,W,12,,,,,
Ricardo Laborde,30,FK Krasnodar,RUS - Premier Liga,right,174,Colombia,W,12,29,7,2275,9,
Magomed-Shapi Suleymanov,18,FK Krasnodar,RUS - Premier Liga,left,170,Russia,W,12,,,,,
Fedor Smolov,28,FK Krasnodar,RUS - Premier Liga,right,187,Russia,CF,12,26,1,1023,0,
Ivan Ignatjev,19,FK Krasnodar,RUS - Premier Liga,right,180,Russia,CF,12,,,,,
Alan Kasaev,31,Lokomotiv Moscow,RUS - Premier Liga,right,174,Russia,W,12,31,3,1564,5,
Jefferson Farfán,33,Lokomotiv Moscow,RUS - Premier Liga,right,178,Peru,W,12,35,7,2828,10,
Arshak Koryan,22,Lokomotiv Moscow,RUS - Premier Liga,right,169,Russia  Armenia,W,12,,,,,
Éder,30,Lokomotiv Moscow,RUS - Premier Liga,both,190,Portugal  Guinea-Bissau,CF,12,31,16,2413,5,
Ari,32,Lokomotiv Moscow,RUS - Premier Liga,both,180,Brazil,CF,12,37,6,2621,8,
Gökdeniz Karadeniz,38,Rubin Kazan,RUS - Premier Liga,right,168,Turkey,W,12,42,7,3319,9,
Rifat Zhemaletdinov,21,Rubin Kazan,RUS - Premier Liga,right,184,Russia,W,12,,,,,
Sardar Azmoun,23,Rubin Kazan,RUS - Premier Liga,both,186,Iran,CF,12,0,0,0,0,
Léo Jabá,19,Akhmat Grozny,RUS - Premier Liga,right,178,Brazil,W,12,,,,,
Bernard Berisha,26,Akhmat Grozny,RUS - Premier Liga,right,174,Kosovo  Albania,W,12,21,3,1791,2,
Magomed Mitrishev,25,Akhmat Grozny,RUS - Premier Liga,right,178,Russia,W,12,20,2,470,0,
Odise Roshi,26,Akhmat Grozny,RUS - Premier Liga,right,187,Albania,W,12,32,2,891,1,
Khalid Kadyrov,23,Akhmat Grozny,RUS - Premier Liga,right,167,Russia,W,12,0,0,0,0,
Bekim Balaj,27,Akhmat Grozny,RUS - Premier Liga,right,188,Albania,CF,12,19,4,1074,2,
Ablaye Mbengue,25,Akhmat Grozny,RUS - Premier Liga,right,187,Senegal,CF,12,,,,,
Zaur Sadaev,28,Akhmat Grozny,RUS - Premier Liga,right,182,Russia,CF,12,13,1,369,0,
Apti Akh'yadov,24,Akhmat Grozny,RUS - Premier Liga,right,173,Russia,CF,12,,,,,
Fedor Chernykh,26,Dinamo Moscow,RUS - Premier Liga,both,183,Lithuania  Russia,W,12,35,4,3100,5,
Vyacheslav Grulev,18,Dinamo Moscow II,RUS - Premier Liga,right,188,Russia,W,12,,,,,
Anton Terekhov,20,Dinamo Moscow,RUS - Premier Liga,right,186,Russia,W,12,,,,,
Evgeni Markov,23,Dinamo Moscow,RUS - Premier Liga,right,187,Russia,CF,12,,,,,
Evgeni Lutsenko,31,Dinamo Moscow,RUS - Premier Liga,left,187,Russia,CF,12,32,9,2624,4,
Nikolay Obolskiy,21,Dinamo Moscow,RUS - Premier Liga,left,186,Russia,CF,12,,,,,
Evans Kangwa,25,Arsenal Tula,RUS - Premier Liga,right,180,Zambia,W,12,,,,,
Artem Dzyuba,29,Arsenal Tula,RUS - Premier Liga,right,196,Russia,CF,12,32,4,1773,7,
Luka Djordjevic,23,Arsenal Tula,RUS - Premier Liga,both,185,Montenegro,CF,12,10,0,260,0,
Federico Rasic,25,Arsenal Tula,RUS - Premier Liga,right,194,Argentina  Croatia,CF,12,,,,,
Aslanbek Sikoev,23,Arsenal Tula II,RUS - Premier Liga,right,191,Russia,CF,12,,,,,
Igor Shevchenko,33,Arsenal Tula,RUS - Premier Liga,right,180,Russia,CF,12,32,4,1986,1,
Sly,27,FK Ufa,RUS - Premier Liga,right,173,Nigeria,W,12,28,9,2162,3,
Dmitri Sysuev,30,FK Ufa,RUS - Premier Liga,right,176,Russia,W,12,28,9,2300,7,
Kehinde Fatai,28,FK Ufa,RUS - Premier Liga,right,185,Nigeria  Romania,CF,12,37,16,2745,6,
Vyacheslav Krotov,25,FK Ufa,RUS - Premier Liga,right,183,Russia,CF,12,3,1,193,0,
Yerkebulan Seydakhmet,18,FK Ufa,RUS - Premier Liga,right,178,Kazakhstan,CF,12,,,,,
Aleksandr Zuev,21,FK Rostov,RUS - Premier Liga,right,176,Russia  Kazakhstan,W,12,,,,,
Aleksey Ionov,29,FK Rostov,RUS - Premier Liga,right,177,Russia,W,12,32,2,2607,12,
Björn Sigurdarson,27,FK Rostov,RUS - Premier Liga,right,187,Iceland,CF,12,41,6,2535,2,
Eldor Shomurodov,22,FK Rostov,RUS - Premier Liga,right,185,Uzbekistan,CF,12,,,,,
Vladimir Dyadyun,29,FK Rostov,RUS - Premier Liga,right,183,Russia,CF,12,33,10,1532,2,
Nikolay Dimitrov,30,Ural Yekaterinburg,RUS - Premier Liga,left,175,Bulgaria,W,12,21,7,1625,4,
Dmytro Khomchenovsky,27,Ural Yekaterinburg,RUS - Premier Liga,both,182,Ukraine,W,12,15,2,1131,2,
Nikita Glushkov,23,Ural Yekaterinburg,RUS - Premier Liga,right,175,Russia,W,12,,,,,
Giorgi Chanturia,24,Ural Yekaterinburg,RUS - Premier Liga,both,181,Georgia,W,12,16,2,911,0,
Edgar Manucharyan,31,Ural Yekaterinburg,RUS - Premier Liga,left,177,Armenia,W,12,11,6,555,0,
Vladimir Iljin,25,Ural Yekaterinburg,RUS - Premier Liga,right,187,Russia,CF,12,,,,,
Igor Portnyagin,29,Ural Yekaterinburg,RUS - Premier Liga,right,191,Russia,CF,12,27,18,1909,6,
Aaron Olanare,23,Amkar Perm,RUS - Premier Liga,left,189,Nigeria,CF,12,27,7,1852,2,
Darko Bodul,29,Amkar Perm,RUS - Premier Liga,right,186,Austria  Croatia,CF,12,28,4,1861,8,
Aleksey Gasilin,22,Amkar Perm,RUS - Premier Liga,both,185,Russia,CF,12,1,0,44,0,
Pavel Yakovlev,26,Anzhi Makhachkala,RUS - Premier Liga,right,180,Russia,W,12,17,2,820,4,
Ivan Markelov,29,Anzhi Makhachkala,RUS - Premier Liga,left,185,Russia,W,12,,,,,
Arsen Khubulov,27,Anzhi Makhachkala,RUS - Premier Liga,right,181,Russia,W,12,14,2,755,1,
Pylyp Budkivsky,26,Anzhi Makhachkala,RUS - Premier Liga,right,196,Ukraine,CF,12,0,0,0,0,
Juan Lescano,25,Anzhi Makhachkala,RUS - Premier Liga,right,188,Argentina,CF,12,,,,,
Aleksandr Prudnikov,29,Anzhi Makhachkala,RUS - Premier Liga,both,185,Russia,CF,12,7,1,359,0,
Amur Kalmykov,23,Anzhi Makhachkala,RUS - Premier Liga,right,194,Russia,CF,12,,,,,
Pavel Dolgov,21,Anzhi Makhachkala,RUS - Premier Liga,right,187,Russia,CF,12,,,,,
Ricardinho,28,FK Tosno,RUS - Premier Liga,both,178,Brazil,W,12,28,7,2214,2,
Nikola Trujic,25,FK Tosno,RUS - Premier Liga,right,182,Serbia,W,12,28,4,1759,0,
Reziuan Mirzov,24,FK Tosno,RUS - Premier Liga,right,180,Russia,W,12,1,0,20,0,
Aleksandr Makarov,21,FK Tosno,RUS - Premier Liga,right,175,Russia,W,12,,,,,
Pavel Pogrebnyak,34,FK Tosno,RUS - Premier Liga,left,188,Russia,CF,12,32,8,2257,0,
Alejandro Barbaro,26,SKA Khabarovsk,RUS - Premier Liga,both,177,Argentina  Italy,W,12,1,0,90,0,
Konstantin Savichev,24,SKA Khabarovsk,RUS - Premier Liga,right,172,Russia,W,12,2,0,117,0,
Vladislav Nikiforov,28,SKA Khabarovsk,RUS - Premier Liga,right,166,Russia,W,12,16,0,538,0,
Dmitri Kabutov,25,SKA Khabarovsk,RUS - Premier Liga,right,173,Russia,W,12,31,2,2040,3,
Maksim Kazankov,30,SKA Khabarovsk,RUS - Premier Liga,right,175,Russia  Turkmenistan,W,12,,,,,
Maksim Kanunnikov,26,SKA Khabarovsk,RUS - Premier Liga,right,184,Russia,CF,12,25,3,1406,2,
Miroslav Markovic,28,SKA Khabarovsk,RUS - Premier Liga,both,184,Serbia,CF,12,23,3,1438,2,
Lukasz Sekulski,27,SKA Khabarovsk,RUS - Premier Liga,right,187,Poland,CF,12,35,12,1564,0,
Aleksandr Maksimenko,21,SKA Khabarovsk II,RUS - Premier Liga,right,169,Russia,CF,12,,,,,
Ousmane Dembélé,20,FC Barcelona,ESP - LaLiga,both,178,France  Mauritania,W,12,,,,,FC Barcelona
Lionel Messi,30,FC Barcelona,ESP - LaLiga,left,170,Argentina  Spain,W,12,50,60,4070,18,FC Barcelona
Aleix Vidal,28,FC Barcelona,ESP - LaLiga,right,177,Spain,W,12,45,7,3179,9,FC Barcelona
Luis Suárez,31,FC Barcelona,ESP - LaLiga,right,182,Uruguay  Italy,CF,12,44,30,3720,13,FC Barcelona
Paco Alcácer,24,FC Barcelona,ESP - LaLiga,right,175,Spain,CF,12,24,4,855,1,FC Barcelona
Cristiano Ronaldo,33,Real Madrid,ESP - LaLiga,both,187,Portugal,W,12,55,55,4631,13,Real Madrid
Marco Asensio,22,Real Madrid,ESP - LaLiga,left,182,Spain  Netherlands,W,12,,,,,Real Madrid
Gareth Bale,28,Real Madrid,ESP - LaLiga,left,185,Wales,W,12,44,26,3891,15,Real Madrid
Lucas Vázquez,26,Real Madrid,ESP - LaLiga,right,173,Spain,W,12,26,3,795,3,Real Madrid
Karim Benzema,30,Real Madrid,ESP - LaLiga,both,185,France  Algeria,CF,12,50,21,2881,21,Real Madrid
Borja Mayoral,20,Real Madrid,ESP - LaLiga,right,182,Spain,CF,12,,,,,Real Madrid
Vitolo,28,Atlético Madrid,ESP - LaLiga,right,184,Spain,W,12,44,15,3769,6,
Ángel Correa,23,Atlético Madrid,ESP - LaLiga,right,172,Argentina  Spain,W,12,12,4,798,3,
Antoine Griezmann,26,Atlético Madrid,ESP - LaLiga,left,175,France,CF,12,35,11,2923,5,
Diego Costa,29,Atlético Madrid,ESP - LaLiga,right,186,Spain  Brazil,CF,12,44,20,3054,13,
Kévin Gameiro,30,Atlético Madrid,ESP - LaLiga,right,172,France,CF,12,32,9,1168,3,
Fernando Torres,33,Atlético Madrid,ESP - LaLiga,right,186,Spain,CF,12,64,22,4653,11,
Gonçalo Guedes,21,Valencia CF,ESP - LaLiga,right,179,Portugal,W,12,0,0,0,0,
Andreas Pereira,22,Valencia CF,ESP - LaLiga,right,178,Brazil  Belgium,W,12,1,0,6,0,
Ferrán Torres,18,Valencia CF,ESP - LaLiga,right,184,Spain,W,12,,,,,
Simone Zaza,26,Valencia CF,ESP - LaLiga,left,186,Italy,CF,12,36,18,2847,4,
Rodrigo,27,Valencia CF,ESP - LaLiga,left,182,Spain  Brazil,CF,12,39,11,2140,5,
Luciano Vietto,24,Valencia CF,ESP - LaLiga,right,173,Argentina  Italy,CF,12,33,13,2647,4,
Santi Mina,22,Valencia CF,ESP - LaLiga,right,181,Spain,CF,12,1,0,31,0,
Joaquín Correa,23,Sevilla FC,ESP - LaLiga,right,188,Argentina  Italy,W,12,8,0,395,0,
Nolito,31,Sevilla FC,ESP - LaLiga,right,175,Spain,W,12,32,4,2122,3,
Pablo Sarabia,25,Sevilla FC,ESP - LaLiga,left,178,Spain,W,12,16,2,629,1,
Jesús Navas,32,Sevilla FC,ESP - LaLiga,right,170,Spain,W,12,44,1,3924,10,
Wissam Ben Yedder,27,Sevilla FC,ESP - LaLiga,right,170,France  Tunisia,CF,12,37,15,2578,6,
Luis Muriel,26,Sevilla FC,ESP - LaLiga,right,179,Colombia,CF,12,23,11,1428,3,
Sandro Ramírez,22,Sevilla FC,ESP - LaLiga,right,175,Spain,CF,12,,,,,
Roberto Soriano,27,Villarreal CF,ESP - LaLiga,both,182,Italy  Germany,W,12,25,0,1018,2,
Denis Cheryshev,27,Villarreal CF,ESP - LaLiga,left,179,Russia  Spain,W,12,35,11,2608,8,
Samu Castillejo,23,Villarreal CF,ESP - LaLiga,left,182,Spain,W,12,,,,,
Daniel Raba,22,Villarreal CF,ESP - LaLiga,left,184,Spain,W,12,,,,,
Salem Al-Dawsari,26,Villarreal CF,ESP - LaLiga,right,171,Saudi Arabia,W,12,16,4,1155,1,
Carlos Bacca,31,Villarreal CF,ESP - LaLiga,right,181,Colombia,CF,12,44,28,3629,13,
Nicola Sansone,26,Villarreal CF,ESP - LaLiga,right,173,Italy  Germany,CF,12,26,6,1564,3,
Enes Ünal,20,Villarreal CF,ESP - LaLiga,right,185,Turkey,CF,12,,,,,
Roger Martínez,23,Villarreal CF,ESP - LaLiga,right,180,Colombia,CF,12,2,0,116,0,
Iker Muniain,25,Athletic Bilbao,ESP - LaLiga,right,169,Spain,W,12,43,2,2868,3,
Iñigo Córdoba,20,Athletic Bilbao,ESP - LaLiga,left,179,Spain,W,12,,,,,
Sabin Merino,26,Athletic Bilbao,ESP - LaLiga,right,187,Spain,W,12,,,,,
Iñaki Williams,23,Athletic Bilbao,ESP - LaLiga,right,186,Spain,W,12,,,,,
Markel Susaeta,30,Athletic Bilbao,ESP - LaLiga,right,179,Spain,W,12,46,11,3812,9,
Aritz Aduriz,37,Athletic Bilbao,ESP - LaLiga,right,182,Spain,CF,12,44,18,2982,6,
Kike Sola,32,Athletic Bilbao,ESP - LaLiga,right,184,Spain,CF,12,31,9,2061,2,
Mikel Oyarzabal,20,Real Sociedad,ESP - LaLiga,left,181,Spain,W,12,,,,,
Adnan Januzaj,23,Real Sociedad,ESP - LaLiga,left,186,Belgium  Kosovo,W,12,19,1,1523,5,
Juanmi,24,Real Sociedad,ESP - LaLiga,right,172,Spain,W,12,26,1,1284,1,
David Concha,21,Real Sociedad,ESP - LaLiga,right,179,Spain,W,12,,,,,
Willian José,26,Real Sociedad,ESP - LaLiga,right,189,Brazil,CF,12,26,5,1618,0,
Jon Bautista,22,Real Sociedad,ESP - LaLiga,right,180,Spain,CF,12,,,,,
Imanol Agirretxe,31,Real Sociedad,ESP - LaLiga,right,187,Spain,CF,12,35,15,2152,6,
Pione Sisto,23,Celta de Vigo,ESP - LaLiga,right,171,Denmark  Uganda,W,12,10,0,246,0,
Emre Mor,20,Celta de Vigo,ESP - LaLiga,left,169,Turkey  Denmark,W,12,,,,,
Iago Aspas,30,Celta de Vigo,ESP - LaLiga,left,176,Spain,W,12,37,12,3031,7,
Maximiliano Gómez,21,Celta de Vigo,ESP - LaLiga,right,186,Uruguay,CF,12,,,,,
Lucas Boyé,22,Celta de Vigo,ESP - LaLiga,right,183,Argentina  Italy,CF,12,,,,,
Cristian Tello,26,Real Betis Balompié,ESP - LaLiga,both,178,Spain,W,12,34,8,1631,6,
Joel Campbell,25,Real Betis Balompié,ESP - LaLiga,left,178,Costa Rica,W,12,33,2,1889,3,
Joaquín,36,Real Betis Balompié,ESP - LaLiga,right,181,Spain,W,12,45,8,3318,10,
Francis Guerrero,22,Real Betis Balompié,ESP - LaLiga,right,175,Spain,W,12,,,,,
Antonio Sanabria,22,Real Betis Balompié,ESP - LaLiga,right,181,Paraguay,CF,12,,,,,
Sergio León,29,Real Betis Balompié,ESP - LaLiga,right,176,Spain,CF,12,6,5,417,0,
Rubén Castro,36,Real Betis Balompié,ESP - LaLiga,right,168,Spain,CF,12,40,21,3309,8,
Loren Morón,24,Real Betis Balompié,ESP - LaLiga,,185,Spain,CF,12,,,,,
Pablo Piatti,28,RCD Espanyol Barcelona,ESP - LaLiga,both,163,Argentina  Italy,W,12,19,1,1081,4,
Gerard Moreno,25,RCD Espanyol Barcelona,ESP - LaLiga,left,180,Spain,CF,12,17,3,900,2,
Leo Baptistão,25,RCD Espanyol Barcelona,ESP - LaLiga,right,181,Brazil  Spain,CF,12,28,7,2178,7,
Sergio García,34,RCD Espanyol Barcelona,ESP - LaLiga,right,174,Spain,CF,12,28,7,2401,5,
Jairo Morillas,24,RCD Espanyol Barcelona,ESP - LaLiga,right,187,Spain,CF,12,1,0,45,0,
Zakaria Bakkali,22,Deportivo de La Coruña,ESP - LaLiga,right,168,Belgium  Morocco,W,12,25,5,1884,1,
Borja Valle,25,Deportivo de La Coruña,ESP - LaLiga,right,177,Spain,W,12,6,0,271,0,
Federico Cartabia,25,Deportivo de La Coruña,ESP - LaLiga,left,170,Argentina  Spain,W,12,15,2,914,0,
Carles Gil,25,Deportivo de La Coruña,ESP - LaLiga,left,171,Spain,W,12,31,4,2084,0,
Lucas Pérez,29,Deportivo de La Coruña,ESP - LaLiga,left,180,Spain,CF,12,18,8,1605,3,
Florin Andone,24,Deportivo de La Coruña,ESP - LaLiga,right,180,Romania  Spain,CF,12,,,,,
Adrián López,30,Deportivo de La Coruña,ESP - LaLiga,right,183,Spain,CF,12,46,4,2528,5,
Isaac Success,22,Málaga CF,ESP - LaLiga,right,182,Nigeria,W,12,,,,,
Maxime Lestienne,25,Málaga CF,ESP - LaLiga,left,176,Belgium,W,12,47,18,3258,13,
Chory Castro,33,Málaga CF,ESP - LaLiga,left,178,Uruguay  Spain,W,12,33,6,1500,4,
Keko,26,Málaga CF,ESP - LaLiga,right,172,Spain,W,12,5,1,193,0,
Samu García,27,Málaga CF,ESP - LaLiga,right,177,Spain,W,12,,,,,
Diego Rolán,24,Málaga CF,ESP - LaLiga,right,177,Uruguay,CF,12,25,8,1598,3,
Borja Bastón,25,Málaga CF,ESP - LaLiga,right,186,Spain,CF,12,32,9,1801,0,
Brown Ideye,29,MAAlaga CF,ESP - LaLiga,right,181,Nigeria,CF,12,40,21,3222,3,
Adalberto Peñaranda,20,Málaga CF,ESP - LaLiga,right,185,Venezuela,CF,12,,,,,
Youssef En-Nesyri,20,Málaga CF,ESP - LaLiga,both,189,Morocco,CF,12,,,,,
Cristhian Stuani,31,Girona FC,ESP - LaLiga,right,184,Uruguay  Italy,CF,12,34,7,2252,4,
Anthony Lozano,24,Girona FC,ESP - LaLiga,right,183,Honduras,CF,12,17,1,1084,0,
Michael Olunga,23,Girona FC,ESP - LaLiga,,190,Kenya,CF,12,2,0,87,0,
Takashi Inui,29,SD Eibar,ESP - LaLiga,right,170,Japan,W,12,34,6,2666,8,
Pedro León,31,SD Eibar,ESP - LaLiga,right,183,Spain,W,12,30,3,2363,8,
Fabián Orellana,32,SD Eibar,ESP - LaLiga,right,171,Chile,W,12,33,0,1776,3,
Iván Alejo,23,SD Eibar,ESP - LaLiga,right,186,Spain,W,12,,,,,
Rubén Peña,26,SD Eibar,ESP - LaLiga,right,170,Spain,W,12,5,0,205,0,
Sergi Enrich,28,SD Eibar,ESP - LaLiga,right,181,Spain,CF,12,25,3,720,0,
Kike,28,SD Eibar,ESP - LaLiga,right,186,Spain,CF,12,36,7,2979,5,
Charles,33,SD Eibar,ESP - LaLiga,right,179,Brazil  Portugal,CF,12,47,32,3757,5,
Alfonso Pedraza,21,Deportivo Alavés,ESP - LaLiga,left,184,Spain,W,12,,,,,
Burgui,24,Deportivo Alavés,ESP - LaLiga,right,184,Spain,W,12,21,3,1230,1,
Ibai Gómez,28,Deportivo Alavés,ESP - LaLiga,right,178,Spain,W,12,46,5,2472,12,
Hernán Pérez,29,Deportivo Alavés,ESP - LaLiga,right,180,Paraguay  Spain,W,12,16,2,889,2,
Munir El Haddadi,22,Deportivo Alavés,ESP - LaLiga,left,175,Spain  Morocco,CF,12,,,,,
John Guidetti,25,Deportivo Alavés,ESP - LaLiga,right,185,Sweden,CF,12,7,6,553,1,
Christian Santos,29,Deportivo Alavés,ESP - LaLiga,left,184,Venezuela  Germany,CF,12,28,10,2297,7,
Rubén Sobrino,25,Deportivo Alavés,ESP - LaLiga,right,185,Spain,CF,12,19,1,1180,2,
Ermedin Demirovic,19,Deportivo Alavés,ESP - LaLiga,right,184,Bosnia-Herzegovina  Germany,CF,12,,,,,
Alexander Szymanowski,29,CD Leganés,ESP - LaLiga,left,174,Argentina  Poland,W,12,39,10,2761,6,
José Naranjo,23,CD Leganés,ESP - LaLiga,right,182,Spain,W,12,5,1,349,0,
Nordin Amrabat,30,CD Leganés,ESP - LaLiga,right,179,Morocco  Netherlands,W,12,43,1,1984,10,
Nabil El Zhar,31,CD Leganés,ESP - LaLiga,both,170,Morocco  France,W,12,38,3,2136,2,
Omar,30,CD Leganés,ESP - LaLiga,left,176,Spain,W,12,35,1,2447,7,
Claudio Beauvue,29,CD Leganés,ESP - LaLiga,right,174,Guadeloupe  France,CF,12,38,8,2835,4,
Miguel Ángel Guerrero,27,CD Leganés,ESP - LaLiga,right,180,Spain,CF,12,26,9,1626,4,
Amath Ndiaye,21,Getafe CF,ESP - LaLiga,right,173,Senegal,W,12,,,,,
Dani Pacheco,27,Getafe CF,ESP - LaLiga,both,168,Spain  Brazil,W,12,33,9,2793,11,
Álvaro Jiménez,22,Getafe CF,ESP - LaLiga,right,176,Spain,W,12,,,,,
Loïc Rémy,31,Getafe CF,ESP - LaLiga,right,185,France  Martinique,CF,12,37,9,2226,1,
Ángel Rodríguez,30,Getafe CF,ESP - LaLiga,right,171,Spain,CF,12,35,7,1714,1,
Jorge Molina,35,Getafe CF,ESP - LaLiga,right,188,Spain,CF,12,38,14,2591,4,
José Luis Morales,30,Levante UD,ESP - LaLiga,right,180,Spain,W,12,7,1,630,0,
Fahad Al-Muwallad,23,Levante UD,ESP - LaLiga,right,167,Saudi Arabia,W,12,10,3,797,0,
Ivi,23,Levante UD,ESP - LaLiga,right,174,Spain,W,12,,,,,
Jason,23,Levante UD,ESP - LaLiga,right,178,Spain,W,12,,,,,
Roger Martí,27,Levante UD,ESP - LaLiga,right,179,Spain,CF,12,25,8,1106,1,
Emmanuel Boateng,21,Levante UD,ESP - LaLiga,right,175,Ghana,CF,12,,,,,
Alex Alegría,25,Levante UD,ESP - LaLiga,right,190,Spain,CF,12,10,1,645,1,
Giampaolo Pazzini,33,Levante UD,ESP - LaLiga,right,180,Italy,CF,12,37,16,2166,2,
Armando Sadiku,26,Levante UD,ESP - LaLiga,right,182,Albania  Bulgaria,CF,12,35,22,3018,5,
Jairo Samperio,24,UD Las Palmas,ESP - LaLiga,right,173,Spain,W,12,40,10,2771,2,
Hernán Toledo,22,UD Las Palmas,ESP - LaLiga,right,180,Argentina,W,12,,,,,
Nacho Gil,22,UD Las Palmas,ESP - LaLiga,right,170,Spain,W,12,,,,,
Momo,35,UD Las Palmas,ESP - LaLiga,left,179,Spain,W,12,47,5,3163,7,
Jonathan Calleri,24,UD Las Palmas,ESP - LaLiga,right,181,Argentina  Italy,CF,12,3,1,264,0,
Emmanuel Emenike,30,UD Las Palmas,ESP - LaLiga,right,182,Nigeria,CF,12,23,8,1616,3,
Imoh Ezekiel,24,UD Las Palmas,ESP - LaLiga,right,178,Nigeria,CF,12,34,16,2361,10,
Justin Kluivert,18,Ajax Amsterdam,NLD - Eredivisie,both,171,Netherlands  Suriname,W,12,,,,,
Amin Younes,24,Ajax Amsterdam,NLD - Eredivisie,both,168,Germany  Lebanon,W,12,24,2,1400,4,
Dennis Johnsen,20,Ajax Amsterdam,NLD - Eredivisie,right,185,Norway,W,12,,,,,
David Neres,21,Ajax Amsterdam,NLD - Eredivisie,left,175,Brazil,W,12,,,,,
Vaclav Cerny,20,Ajax Amsterdam,NLD - Eredivisie,left,179,Czech Republic,W,12,,,,,
Kasper Dolberg,20,Ajax Amsterdam,NLD - Eredivisie,right,187,Denmark,CF,12,,,,,
Mateo Cassierra,20,Ajax Amsterdam,NLD - Eredivisie,right,184,Colombia,CF,12,,,,,
Klaas-Jan Huntelaar,34,Ajax Amsterdam,NLD - Eredivisie,right,186,Netherlands,CF,12,35,16,2880,6,
Hirving Lozano,22,PSV Eindhoven,NLD - Eredivisie,right,175,Mexico,W,12,,,,,
Steven Bergwijn,20,PSV Eindhoven,NLD - Eredivisie,right,178,Netherlands  Suriname,W,12,,,,,
Gastón Pereiro,22,PSV Eindhoven,NLD - Eredivisie,left,188,Uruguay,W,12,0,0,0,0,
Albert Gudmundsson,20,PSV Eindhoven,NLD - Eredivisie,right,177,Iceland,W,12,1,0,5,0,
Maximiliano Romero,19,PSV Eindhoven,NLD - Eredivisie,right,179,Argentina,CF,12,,,,,
Luuk de Jong,27,PSV Eindhoven,NLD - Eredivisie,right,188,Netherlands,CF,12,31,8,2023,4,
Sam Lammers,20,PSV Eindhoven,NLD - Eredivisie,both,189,Netherlands,CF,12,,,,,
Donyell Malen,19,PSV Eindhoven U21,NLD - Eredivisie,right,0,Netherlands,CF,12,,,,,
Sam Larsson,24,Feyenoord Rotterdam,NLD - Eredivisie,right,180,Sweden,W,12,37,8,2701,12,
Jean-Paul Boëtius,23,Feyenoord Rotterdam,NLD - Eredivisie,right,178,Netherlands  Suriname,W,12,26,6,1885,5,
Cheick Toure,17,Feyenoord Rotterdam,NLD - Eredivisie,,167,Netherlands  Guinea,W,12,,,,,
Steven Berghuis,26,Feyenoord Rotterdam,NLD - Eredivisie,left,182,Netherlands,W,12,44,5,2398,2,
Bilal Basacikoglu,22,Feyenoord Rotterdam,NLD - Eredivisie,right,173,Turkey  Netherlands,W,12,32,0,2321,2,
Nicolai Jörgensen,27,Feyenoord Rotterdam,NLD - Eredivisie,right,190,Denmark,CF,12,36,12,2508,8,
Robin van Persie,34,Feyenoord Rotterdam,NLD - Eredivisie,left,183,Netherlands,CF,12,48,30,3696,15,
Dylan Vente,18,Feyenoord Rotterdam,NLD - Eredivisie,right,184,Netherlands,CF,12,,,,,
Oussama Idrissi,22,AZ Alkmaar,NLD - Eredivisie,right,183,Netherlands  Morocco,W,12,,,,,
Alireza Jahanbakhsh,24,AZ Alkmaar,NLD - Eredivisie,both,180,Iran,W,12,28,8,2264,0,
Calvin Stengs,19,AZ Alkmaar,NLD - Eredivisie,left,182,Netherlands  Suriname,W,12,,,,,
Wout Weghorst,25,AZ Alkmaar,NLD - Eredivisie,right,197,Netherlands,CF,12,30,8,1878,0,
Ondrej Mihálik,20,AZ Alkmaar,NLD - Eredivisie,right,188,Czech Republic,CF,12,,,,,
